screen_name,lang,created_at,fav_count,retweet_count,text,location
AbellineB,in,10/2/2020 8:31,0,0,"Solo Ber â€“ Satu, Gibran â€“ Teguh Pilihanku. https://t.co/y0JlARr8EF","Tuscany, Amsterdam, Denpasar"
AbellineB,in,10/2/2020 8:31,0,0,Gibran â€“ Teguh Mendapat Nomor Urut Satu Untuk Pilkada Solo 2020. Part 2 https://t.co/8EAJqeHKBb,"Tuscany, Amsterdam, Denpasar"
AbellineB,in,10/2/2020 8:30,0,0,Gibran â€“ Teguh Mendapat Nomor Urut Satu Untuk Pilkada Solo 2020. Part 1 https://t.co/ndjr0ch5BP,"Tuscany, Amsterdam, Denpasar"
AbellineB,in,10/2/2020 8:29,0,0,Gibran: Saya Dan Pak Teguh Tetap Berkomitmen Menjaga Protokol Kesehatan Selama Kampanye. https://t.co/2sPcbnJKlB,"Tuscany, Amsterdam, Denpasar"
AbellineB,in,10/2/2020 8:29,0,0,"Gibran â€“ Teguh: Untuk Mendukung Pilkada Aman, Secret Clean (PT Victoria Care) Memberikan Bantuan Hand Sanitizer. https://t.co/rnqWbp75JY","Tuscany, Amsterdam, Denpasar"
MalvaSelena,in,10/2/2020 8:01,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦","Surakarta, Jawa Tengah"
cak_sys,in,10/2/2020 7:48,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦","Kota Surabaya, Jawa Timur"
Baracuda1818,in,10/2/2020 7:45,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",Indonesia
teguh_gibran,in,10/2/2020 7:42,0,0,Capek euy,"Sukabumi, Indonesia"
heniunique,in,10/2/2020 7:39,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",Indonesia
kumparan,in,10/2/2020 7:30,0,0,Sandiaga Uno digadang-gadang menjadi Jurkam Paslon Gibran-Teguh dalam Pilkada Solo 2020. Sandiaga menjadi Jurkam taâ€¦ https://t.co/gxqSNwyip2,
triyo_s3,in,10/2/2020 7:24,0,15,"RT @ChristWamea: Sandiaga Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi. Borong dari Medan sampai Solo. 
httâ€¦",
Robert__Moses,in,10/2/2020 7:19,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",
zkif,in,10/2/2020 7:17,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",Indonesia
bunda_ima2901,in,10/2/2020 7:15,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",bumi Allah
nurrasa_jathi,in,10/2/2020 7:12,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",Ngayogjogkarto
ellreborn,in,10/2/2020 7:10,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",underpass cibuburðŸ›£
Biroenyacinta,in,10/2/2020 7:09,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",
