Minggu,screen_name,lang,created_at,fav_count,retweet_count,text,location
5,Metro_TV,in,11/6/2020 8:05,4,0,Paslon nomor urut 1 Gibran Rakabuming-Teguh Prakosa berhadapan dgn paslon nomor urut 2 Bagyo Wahyono-F.X Supardjo.� https://t.co/5SLHwPzNmA,"�T:-6.186977, 106.759125"
5,Metro_TV,in,11/6/2020 8:05,2,1,Paslon nomor urut 1 Gibran Rakabuming-Teguh Prakosa berhadapan dgn paslon nomor urut 2 Bagyo Wahyono-F.X Supardjo.� https://t.co/MF9yqRh2LB,"�T:-6.186977, 106.759125"
5,KompasTV,in,11/6/2020 7:28,1,0,"Seperti apa visi misi dua pasang Calon Wali Kota dan Calon Wakil Wali Kota Solo?

Saksikan debat antara Paslon� https://t.co/SWesW5dMuT",Indonesia
5,KompasTV,in,11/6/2020 6:43,0,0,"Seperti apa visi misi dua pasang Calon Wali Kota dan Calon Wakil Wali Kota Solo?
Saksikan debat antara Paslon� https://t.co/p0BY9WCKgT",Indonesia
5,merdekadotcom,in,11/6/2020 6:28,3,0,"Jelang Debat Pilkada Solo, Ganjar Minta Gibran Menyiapkan Mental Kemenangan: Kepada putra sulung Presiden Joko Wido� https://t.co/UrU6UUvmXH",Indonesia
5,SINDOnews,in,11/6/2020 6:19,4,1,Jokowi dan Keluarga Bakal Nonton Bareng Debat Terbuka Gibran-Prakoso VS Bagyo Wahyono-FX Supardjo https://t.co/zbCgXzHAws,"Jakarta Pusat, DKI Jakarta"
5,solohebat_id,in,11/6/2020 5:18,0,0,"Demikian pun dengan Paslon Pilkada Surakarta nomor urut 2, Bagyo Wahyono dan Supardjo, mesti siap dengan visi misi� https://t.co/YtCqM8VKBD",
5,KompasTV,in,11/6/2020 5:12,3,0,"Seperti apa visi misi dua pasang Calon Wali Kota dan Calon Wakil Wali Kota Solo?

Saksikan debat antara Paslon� https://t.co/0QdX8NeWDP",Indonesia
5,KompasTV,in,11/6/2020 3:58,3,0,"Seperti apa visi misi dua pasang Calon Wali Kota dan Calon Wakil Wali Kota Solo?

Saksikan debat antara Paslon� https://t.co/vbpzc21YNK",Indonesia
5,ChavidNew,in,11/6/2020 3:33,0,7,RT @Qirani_Ayara: Bagi yg penasaran (termsk aku sendiri ??) pingin nonton debat antara Paslon @GibranRakabumi-Teguh Prakosa dan Paslon Bagyo�,"Jawa Barat, Indonesia"
5,KompasTV,in,11/6/2020 2:28,1,1,"Seperti apa visi misi dua pasang Calon Wali Kota dan Calon Wakil Wali Kota Solo?

Saksikan debat antara Paslon� https://t.co/wZlYupjP05",Indonesia
5,jpnncom,in,11/6/2020 1:46,0,0,"Gibran bin Jokowi mengaku sudah menyiapkan pertanyaan untuk Bagyo-Supardjo, begitu juga sebaliknya. #Gibran https://t.co/LRM3gEQgnk",Indonesia
5,minosyahmadi,in,11/6/2020 0:20,0,1,"RT @KompasTV: Seperti apa visi misi dua pasang Calon Wali Kota dan Calon Wakil Wali Kota Solo?

Saksikan debat antara Paslon @GibranRakabum�","Simalungun, Sumatera Utara"
5,KompasTV,in,11/6/2020 0:20,3,1,"Seperti apa visi misi dua pasang Calon Wali Kota dan Calon Wakil Wali Kota Solo?

Saksikan debat antara Paslon� https://t.co/z0VDRHX5y9",Indonesia
5,jawapos,in,11/6/2020 0:00,1,1,"Malam Ini Debat Gibran-Teguh Vs Bagyo-Supardjo, KPU: Bakal Berbeda https://t.co/AbNZhWoJtX","Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
6,kumparan,in,11/21/2020 13:27,3,0,Surat suara Pilwakot Solo telah tiba di KPU dengan dikawal petugas keamanan.#kumparanNews https://t.co/d0ECa81aHG,
6,ant1cebong,in,11/20/2020 16:02,0,0,@kang_bacot Semoga Bagyo Wahyono-FX Supardjo menang juga,
6,K_h_a_i_r_a,in,11/19/2020 23:43,3,0,"Jika ditarik ke belakang, sejatinya Bawaslu Kota Solo langsung memberikan teguran kepada Gibran Rakabuming Raka-Teg… https://t.co/BbU6fTS2UW",
6,ZnS_DMR,in,11/18/2020 15:34,0,1,RT @K_h_a_i_r_a: Lembaga pengawas pemilu itu langsung mengirim surat peringatan kepada dua paslon Gibran Rakabuming Raka-Teguh Prakosa dan…,
6,K_h_a_i_r_a,in,11/18/2020 7:28,3,1,Lembaga pengawas pemilu itu langsung mengirim surat peringatan kepada dua paslon Gibran Rakabuming Raka-Teguh Prako… https://t.co/xNVA1WzSX1,
6,kitaindonesiaaa,und,11/17/2020 11:59,0,0,@Fakhrud62145520 https://t.co/geSmdHyJPk,
