screen_name,lang,created_at,fav_count,retweet_count,text,location
BacaDiBaBe,in,9/24/2020 9:00,0,0,"Nomor Urut di Pilwalkot Solo: Gibran-Teguh 1, Bagyo-Supardjo 2 #GibranRakabuming #Disinfektan #KomisiPemilihanUmum… https://t.co/rLSBA9YlfU",Indonesia
YudhiAP_,in,9/24/2020 8:11,0,0,"Nomer Urut Calon Walikota &amp; Wakil Walikota Surakarta

1. Gibran Rakabuming Raka - Teguh Prakosa ( PDI Perjuangan )… https://t.co/lf1egCAHMc","Sukoharjo, Indonesia"
EgaRiyana,in,9/24/2020 8:05,0,2,"RT @KompasTV: KPU Kota Solo, Jawa Tengah, menetapkan dua pasangan calon Wali Kota Pilkada 2020. Dua pasangan itu yakni Putra Jokowi, Gibran…",
ridwanhasigi,in,9/24/2020 8:01,0,2,"RT @KompasTV: KPU Kota Solo, Jawa Tengah, menetapkan dua pasangan calon Wali Kota Pilkada 2020. Dua pasangan itu yakni Putra Jokowi, Gibran…","Kota Palu, Sulawesi Tengah"
KompasTV,in,9/24/2020 8:00,3,2,"KPU Kota Solo, Jawa Tengah, menetapkan dua pasangan calon Wali Kota Pilkada 2020. Dua pasangan itu yakni Putra Joko… https://t.co/sUM0dQ6xKy",Indonesia
eka_mulyahas,in,9/24/2020 7:04,0,0,"Pasangan calon Pilkada Kota Solo 2020, Gibran Rakabuming Raka-Teguh Prakosa mendapat nomor urut 1, sementara lawann… https://t.co/VZ24dYdyBr",
kumparan,in,9/24/2020 7:02,3,0,"""Pengundian nomor urut paslon telah kita lakukan, paslon Gibran-Teguh mendapatkan nomor satu dan Bajo nomor urut du… https://t.co/9XotHM4wjn",
nasai_yayan,in,9/24/2020 6:50,0,2,"RT @KompasTV: KPU Tetapkan 2 Paslon Pilwakot Solo, Gibran-Teguh dan Bagyo-Supardjo https://t.co/bu7Hn0gEZX",
detikcom,in,9/24/2020 6:47,6,1,Pasangan Gibran Rakabuming Raka-Teguh Prakosa (Gibran-Teguh) dan Bagyo Wahyono-FX Supardjo (Bajo) menghadiri pengun… https://t.co/52Cd2Ynbup,"Jakarta, Indonesia"
KompasTV,in,9/24/2020 6:34,3,2,"KPU Tetapkan 2 Paslon Pilwakot Solo, Gibran-Teguh dan Bagyo-Supardjo https://t.co/bu7Hn0gEZX",Indonesia
ChengHo48078612,in,9/24/2020 5:59,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
PS0N6,in,9/24/2020 5:49,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
Nurchan93995658,in,9/24/2020 5:22,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
Rangga__6,in,9/24/2020 4:45,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"DKI Jakarta, Indonesia"
radarmasnetwork,in,9/24/2020 4:44,0,0,"Sah Jadi Paslon, Gibran-Teguh &amp; Bagyo-Supardjo Tak Soalkan Nomor Urut https://t.co/Dal12YHApy","Banyumas, Central Java"
NewBintangTimur,in,9/24/2020 4:42,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"DKI Jakarta, Indonesia"
3_4ngels,in,9/24/2020 4:28,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,#𝘼𝙘𝙘𝙤𝙪𝙣𝙩𝙁𝙖𝙧𝙢𝙨
Olla______,in,9/24/2020 4:23,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
kekasih_hamba,in,9/24/2020 3:59,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
Tikues_Got,in,9/24/2020 3:34,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"Texcoco, México"
budiira88,in,9/24/2020 3:04,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"Kalimantan Selatan, Indonesia"
Den__Artfleck17,in,9/24/2020 3:00,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
FatimahSw33ty,in,9/24/2020 2:34,30,18,😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tag… https://t.co/wf9dtRuflF,
CNNIDdaily,in,9/24/2020 2:03,1,1,Pasangan Gibran-Teguh dan Bagyo-Supardjo secara resmi akan bertarung memperebutkan kursi Wali Kota Solo. Kedua pasa… https://t.co/jruNxEwlUi,Indonesia
jawapos,in,9/25/2020 3:01,1,0,"Gibran-Teguh 1, Bagyo-Supardjo 2, Sama-sama Yakin Menang Pilkada Solo https://t.co/FMg0IUXr8g","Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
JoniArizal1,in,9/24/2020 20:59,0,3,RT @detikcom: Dua pasangan calon (paslon) Pilkada Solo mengikuti tahapan pengundian nomor urut. Gibran Rakabuming Raka-Teguh Prakosa mendap…,
detikcom,in,9/24/2020 19:50,7,3,Dua pasangan calon (paslon) Pilkada Solo mengikuti tahapan pengundian nomor urut. Gibran Rakabuming Raka-Teguh Prak… https://t.co/OMWTVs8Ohc,"Jakarta, Indonesia"
